index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
1569	I. None	E. Associate	1	occludin	cerebral ischemia	This study demonstrates the timing of TJ associated proteins claudin-5, occludin, and ZO-1 in light of BBB permeability associated with cerebral ischemia reperfusion, and suggests PKCδ pathway may participate in TJ barrier open and BBB leakage during reperfusion injury in a time-dependent manner.
1570	I. None	E. Associate	1	STAT1	cardiovascular disease	Many studies have revealed that signal transducer and activator of transcription 1 (STAT1) plays a significant role in cardiovascular disease.
1571	D.1 Mutation	C. Cause	1	GBE1	cardiomyopathy	The present findings extend previous studies indicating that truncating GBE1 mutations cause a spectrum of severe diseases ranging from generalized intrauterine hydrops to fatal perinatal hypotonia and fatal cardiomyopathy in the first months of life.
1572	G. Regulate	C. Cause	1	GRK2	heart failure	Cross-talk between hypertrophic signaling at the level of PKC and beta-AR signaling regulated by GRK2 may be an important mechanism in the transition from compensatory ventricular hypertrophy to heart failure.
1573	I. None	A. Treat	1	tissue plasminogen activator	stroke	Although many approaches have been tried in the attempt to reduce the devastating impact of stroke, tissue plasminogen activator for thromboembolic stroke is the only proved, effective acute stroke treatment to date.
1574	J. Inhibition	A. Treat	1	S1P	cerebral ischemia	These results suggest that inhibition of S1P signaling is a strategy to treat BBB impairment after cerebral ischemia and highlight the potential alternative use of probucol, a classical anti-hyperlipidemic drug, for emergency treatment of stroke.
1575	A. Expression	E. Associate	0	tissue plasminogen activator	cerebral infarction	To investigate the level of plasma tissue plasminogen activator (tPA), plasminogen activator inhibitor (PAI), 6-keto-prostaglandin F1 alpha(PGF1 alpha), thromboxane B2(TXB2), factor VIII related antigen (VIII R:Ag) in acute cerebral infarction (ACI) patients with different TCM syndrome-type and the therapeutical effect of activating blood stasis (ABS).
1576	G. Regulate	C. Cause	1	angiotensin II	stroke	Excess salt, via oxidative stress, accelerates stroke, and angiotensin II, via AT1 receptor, plays a pivotal role in brain superoxide production of SHRSP by excess salt.
1577	G. Regulate	C. Cause	1	AT1R	chronic heart failure	There is increasing evidence that pathological changes in the myocardium during chronic heart failure (CHF) are partly regulated through the activation of the renin-angiotensin system (RAS), an effect mediated by the angiotensin II type 1 receptor (AT1R).
1578	N.2 Decrease activity	F. None	1	CETP	cardiovascular disease	Although low CETP and high PLTP activity both result in higher concentrations of plasma HDL-cholesterol (HDL-C), there is no evidence that either of these changes is associated with a decrease in cardiovascular disease (CVD) in a general population.
1579	D.Genomic Alteration	C. Cause	1	ESR1	coronary artery disease	Sequence variants in the estrogen receptor alpha gene (ESR1) may alter the atheroprotective effects of estrogens, and be associated with the severity of coronary artery disease (CAD).
1580	N.2 Decrease activity	H. Benefit	0	phospholipase C beta 1	heart failure	We conclude that altered protein expression and stoichiometry of the major cardiomyocyte Ca2+ cycling proteins rather than reduced phospholipase C beta 1 activation may contribute to improved mechanical function produced by left ventricular assist device support in human heart failure.
1581	N.1 Increase activity	E. Associate	1	citrate synthase	chronic heart failure	Exercise training increased the citrate synthase activity and peripheral exercise capacity by 46% and 36%, respectively, in parallel with a two-fold increase in VEGF at both the mRNA (P = 0.03) and protein (P = 0.02) levels The increase in VEGF gene expression in response to exercise training indicates VEGF to be one possible mediator in exercise-induced angiogenesis and may therefore regulate an important and early step in adaptation to increased muscle activity in patient with chronic heart failure.
1582	I. None	G. Marker	0	chromogranin A	heart failure	The aim of this study was to evaluate the prognostic value of chromogranin A (CgA) and C-terminal endothelin-1 precursor fragment (CT-proET-1) in patients with acute destabilized heart failure.
1583	C. Activation	C. Cause	1	signal transducer and activator of transcription 3	intracerebral hemorrhage	Leukemia Inhibitory Factor Contributes to Reactive Astrogliosis via Activation of Signal Transducer and Activator of Transcription 3 Signaling after Intracerebral Hemorrhage in Rats.
1584	I. None	G. Marker	0	myeloperoxidase	chronic systolic heart failure	In a multicenter cohort of 1513 chronic systolic heart failure patients, we measured a contemporary biomarker panel consisting of high-sensitivity C-reactive protein, myeloperoxidase, B-type natriuretic peptide, soluble fms-like tyrosine kinase receptor-1, troponin I, soluble toll-like receptor-2, creatinine, and uric acid.
1585	I. None	C. Cause	1	c-reactive protein	cardiovascular disease	C-reactive protein (CRP), a biomarker of inflammation, has been associated with increased risk of developing cardiovascular disease.
1586	D.1 Mutation	F. None	1	prothrombin	cardioembolic stroke	The factor V Leiden mutation was over-represented in patients with cardioembolic stroke for trend, whereas the prothrombin 20210G-->A variant and the factor XIII polymorphism Val34Leu were not associated with stroke of any subtype.
1587	I. None	H. Benefit	1	activated protein C	stroke	Recombinant human activated protein C (rhAPC) has been found to be protective in severe sepsis and in animal models of stroke and spinal cord injury.
1588	I. None	A. Treat	1	tissue plasminogen activator	stroke	Since the only approved treatment of stroke is that of recombinant tissue plasminogen activator (rtPA) the models selected should be amenable to thrombolytic treatment.
1589	I. None	A. Treat	1	tissue-type plasminogen activator	acute myocardial infarction	Incidence and significance of ventricular tachycardia and fibrillation in the absence of hypotension or heart failure in acute myocardial infarction treated with recombinant tissue-type plasminogen activator: results from the Thrombolysis in Myocardial Infarction (TIMI) Phase II trial.
1590	D.Genomic Alteration	E. Associate	1	APOE	stroke	Association between APOE (the gene) alleles and stroke in this population may be altered due to interaction with other genetic effects.
1591	I. None	A. Treat	1	tissue-type plasminogen activator	ischemic stroke	Recombinant tissue-type plasminogen activator (rt-PA) improves outcomes for patients with acute ischemic stroke, but current approved use is limited to within 3 hours of symptom onset.
1592	I. None	E. Associate	1	norepinephrine	congestive heart failure	In certain cardiovascular disorders, such as congestive heart failure and ischemic heart disease, several endogenous regulators, including norepinephrine (NE) and endothelin-1 (ET-1), are released from various types of cell.
1593	A. Expression	E. Associate	0	CRP	vascular dementia	The following markers of inflammation: enzymatic activity of leukocyte elastase (LE), functional activity of alpha-1-proteinase inhibitor (α1-PI), levels of C-reactive protein (CRP) and interleukin-6 (IL-6) were measured in the blood plasma of patients with Alzheimer's disease (AD) and vascular dementia (VD).
1594	I. None	A. Treat	1	tissue plasminogen activator	ischaemic stroke	Thrombolytic therapy with recombinant tissue plasminogen activator (rt-PA) is licensed for use within 3 h of acute ischaemic stroke.
1595	A.3 Splicing	E. Associate	1	TNNT2	dilated cardiomyopathy	Furthermore, we demonstrated that splicing of 4 key sarcomere genes, cardiac troponin T (TNNT2), cardiac troponin I (TNNI3), myosin heavy chain 7 (MYH7), and filamin C, gamma (FLNC), was significantly altered in ischemic cardiomyopathy and in dilated cardiomyopathy and aortic stenosis.
1596	A. Expression	E. Associate	0	TFI	atherosclerotic renal artery stenosis	Levels of FGF-23, Klotho, suPAR, plasminogen activator inhibitor (PAI)-1, tissue factor, and tissue factor pathway inhibitor (TFI) were measured in the inferior vena cava and renal vein of hypertensive patients with atherosclerotic renal artery stenosis (n=12) or age-matched participants with EH (n=12) and relatively preserved renal function.
1597	D.1 Mutation	C. Cause	1	LDL receptor	coronary artery disease	This result suggests the possibility that genetic variation at the LDL receptor locus or a closely linked locus on chromosome 19 may be responsible for metabolic alterations in ALP pattern B that account for a substantial proportion of the familial predisposition to coronary artery disease in the general population.
1598	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	Angioedema has been reported during recombinant tissue plasminogen activator (rtPA) treatment of acute ischemic stroke, often with concomitant use of angiotensin I-converting enzyme inhibitor treatment.
1599	I. None	A. Treat	1	nerve growth factor	cerebral hemorrhage	Nerve growth factor in combination with Oxiracetam in the treatment of Hypertensive Cerebral Hemorrhage.
1600	I. None	E. Associate	0	APP	multi-infarct dementia	Since interleukin-1 (IL-1) is an APP gene promoter showing a progressive increase in body fluids in parallel with mental deterioration in AD patients, we have studied the effects of CDP-choline on cognition, several biological parameters, and IL-1 beta production in AD and multi-infarct dementia (MID) in order to elucidate whether this compound alone or in combination with other drugs is able to restore immune function and improve mental performance in senile dementia.
1601	D.1 Mutation	E. Associate	1	TET2	cardiovascular disease	Clonal hematopoiesis driven by somatic heterozygous TET2 loss is linked to malignant degeneration via consequent aberrant DNA methylation, and possibly to cardiovascular disease via increased cytokine and chemokine expression as reported in mice.
1602	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	thrombolysis with recombinant tissue plasminogen activator (rt-PA) is the only available pharmacological therapy to improve the outcome of acute ischemic stroke.
1603	D.1 Mutation	C. Cause	1	TAZ	cardiomyopathy	Tafazzin is an enzyme that remodels saturated fatty acyl chains within CL to unsaturated fatty acyl chains, loss of function mutations in the TAZ gene encoding tafazzin are causal for the inherited cardiomyopathy Barth syndrome.
1604	I. None	A. Treat	1	tissue plasminogen activator	ischaemic stroke	Recombinant tissue plasminogen activator (tPA) thrombolysis is effective in treating acute ischaemic stroke, but may not be a viable option in developing countries.
1605	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	Currently, the indication for thrombolytic therapy using intravenous recombinant tissue plasminogen activator (rt-PA) is restricted strictly to patients with acute ischemic stroke within 4.5 h of onset.
